"","freq","prev","p.freq","p.prev","p","contaminant"
"ASV_112",0.00111356355234366,55,NA,0.595238095238095,0.595238095238095,FALSE
"ASV_113",0.00182027288407118,35,NA,0.0833333333333333,0.0833333333333333,TRUE
"ASV_114",0.00106199637979743,52,NA,0.0833333333333333,0.0833333333333333,TRUE
"ASV_115",0.000916521039796658,41,NA,0.571428571428571,0.571428571428571,FALSE
"ASV_117",0.000238564215910511,22,NA,0.166666666666667,0.166666666666667,FALSE
"ASV_118",0.00045219129086368,41,NA,0.1875,0.1875,FALSE
"ASV_119",0.00115537288818953,35,NA,0.547619047619048,0.547619047619048,FALSE
"ASV_120",0.00173941149084222,140,NA,0.333333333333333,0.333333333333333,FALSE
"ASV_121",0.00180684384247874,18,NA,0.532258064516129,0.532258064516129,FALSE
"ASV_122",0.00118107997853693,149,NA,0.357142857142857,0.357142857142857,FALSE
"ASV_123",0.000891791953805236,28,NA,0.547619047619048,0.547619047619048,FALSE
"ASV_125",0.000939875527280397,51,NA,0.125,0.125,FALSE
"ASV_126",0.000636789203140181,90,NA,0.571428571428571,0.571428571428571,FALSE
"ASV_127",0.000885212547241057,72,NA,0.532258064516129,0.532258064516129,FALSE
"ASV_128",0.000326589650995013,60,NA,0.129032258064516,0.129032258064516,FALSE
"ASV_129",0.000730972366474909,56,NA,0.0833333333333333,0.0833333333333333,TRUE
"ASV_131",0.000851437578434107,153,NA,0.380952380952381,0.380952380952381,FALSE
"ASV_132",0.000764426560909446,78,NA,0.214285714285714,0.214285714285714,FALSE
"ASV_133",0.00204285393556432,28,NA,0.375,0.375,FALSE
"ASV_134",0.000826800479356791,53,NA,0.547619047619048,0.547619047619048,FALSE
"ASV_135",0.00114906850632726,17,NA,0.532258064516129,0.532258064516129,FALSE
"ASV_138",0.000802200390771292,49,NA,0.291666666666667,0.291666666666667,FALSE
"ASV_139",0.000767673202405189,47,NA,0.166666666666667,0.166666666666667,FALSE
"ASV_140",0.000759387000396048,36,NA,0.25,0.25,FALSE
"ASV_141",0.00127905388156621,39,NA,0.5,0.5,FALSE
"ASV_142",0.000690285893949223,125,NA,0.333333333333333,0.333333333333333,FALSE
"ASV_143",0.000725200650038087,72,NA,0.25,0.25,FALSE
"ASV_145",0.000848158817421085,64,NA,0.107142857142857,0.107142857142857,FALSE
"ASV_146",0.000866634546699334,145,NA,0.25,0.25,FALSE
"ASV_147",0.000469217784549424,94,NA,0.595238095238095,0.595238095238095,FALSE
"ASV_149",0.000504563785062731,50,NA,0.0967741935483871,0.0967741935483871,TRUE
"ASV_150",0.0009251572198973,63,NA,0.403225806451613,0.403225806451613,FALSE
"ASV_153",0.000649677800962095,66,NA,0.0476190476190476,0.0476190476190476,TRUE
"ASV_154",0.000393463051989073,46,NA,0.064516129032258,0.064516129032258,TRUE
"ASV_155",0.000820056697194972,80,NA,0.125,0.125,FALSE
"ASV_156",0.000765788458452565,121,NA,0.25,0.25,FALSE
"ASV_157",0.000140896787208128,9,NA,0.580645161290323,0.580645161290323,FALSE
"ASV_158",0.000554768110625792,72,NA,0.0714285714285714,0.0714285714285714,TRUE
"ASV_159",0.00069943584991175,142,NA,0.380952380952381,0.380952380952381,FALSE
"ASV_160",0.000326845586816146,68,NA,0.142857142857143,0.142857142857143,FALSE
"ASV_161",0.000254887707091963,72,NA,0.119047619047619,0.119047619047619,FALSE
"ASV_162",0.000599455835181611,45,NA,0.0833333333333333,0.0833333333333333,TRUE
"ASV_163",0.000789457664949807,44,NA,0.547619047619048,0.547619047619048,FALSE
"ASV_164",0.000659710409717779,44,NA,0.547619047619048,0.547619047619048,FALSE
"ASV_165",0.000597369083599643,115,NA,0.30952380952381,0.30952380952381,FALSE
"ASV_166",0.000552492978049775,103,NA,0.375,0.375,FALSE
"ASV_167",0.000577433151137214,25,NA,0.571428571428571,0.571428571428571,FALSE
"ASV_168",0.000299911646903165,17,NA,0.625,0.625,FALSE
"ASV_169",0.000664258814590032,116,NA,0.166666666666667,0.166666666666667,FALSE
"ASV_170",0.000646718076822238,52,NA,0.571428571428572,0.571428571428572,FALSE
"ASV_171",0.000635253932405431,63,NA,0.333333333333333,0.333333333333333,FALSE
"ASV_172",0.000647558614660435,130,NA,0.357142857142857,0.357142857142857,FALSE
"ASV_173",0.000203393839822745,23,NA,0.547619047619048,0.547619047619048,FALSE
"ASV_174",0.000642447494438288,114,NA,0.261904761904762,0.261904761904762,FALSE
"ASV_176",0.00114672390830483,17,NA,0.532258064516129,0.532258064516129,FALSE
"ASV_177",0.000337273869495273,28,NA,0.564516129032258,0.564516129032258,FALSE
"ASV_178",0.000664832108982125,83,NA,0.5,0.5,FALSE
"ASV_179",0.000459073545384547,80,NA,0.291666666666667,0.291666666666667,FALSE
"ASV_180",0.000712866195106139,68,NA,0.076923076923077,0.076923076923077,TRUE
"ASV_181",0.000480246035242622,68,NA,0.625,0.625,FALSE
"ASV_182",0.00025495670986096,25,NA,0.0476190476190476,0.0476190476190476,TRUE
"ASV_183",0.000587229159295518,38,NA,0.125,0.125,FALSE
"ASV_184",0.000509218733497354,67,NA,0.392857142857143,0.392857142857143,FALSE
"ASV_185",0.000511807426314888,43,NA,0.532258064516129,0.532258064516129,FALSE
"ASV_186",0.00049098724804259,45,NA,0.625,0.625,FALSE
"ASV_187",0.000273853566664207,42,NA,0.564516129032258,0.564516129032258,FALSE
"ASV_188",0.000524388422965926,89,NA,0.25,0.25,FALSE
"ASV_189",0.000708973457451982,24,NA,0.375,0.375,FALSE
"ASV_190",0.000781090660992964,113,NA,0.1875,0.1875,FALSE
