"","freq","prev","p.freq","p.prev","p","contaminant"
"ASV_4475",7.44918485334822e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_4476",1.07663117572458e-05,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4477",1.29329657905937e-05,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4478",6.88892137324918e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4479",9.60739183644403e-06,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_4480",6.34852681552545e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_4481",3.64524311240389e-06,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4482",4.47347824289358e-06,10,NA,0.574495384403417,0.574495384403417,FALSE
"ASV_4483",2.1884550797704e-06,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_4484",7.56030441452703e-06,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4485",9.13928548622157e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4486",1.35699694768744e-05,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_4487",5.79420976689863e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_4493",1.09112016153299e-05,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4494",9.22670858068302e-06,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4495",1.18397509955278e-05,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4496",7.69695160662957e-06,11,NA,0.581509196748416,0.581509196748416,FALSE
"ASV_4497",9.29320410949708e-06,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_4498",9.29138128298233e-06,13,NA,0.595304749931111,0.595304749931111,FALSE
"ASV_4499",1.61109538557913e-05,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_4501",9.4654041275978e-06,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_4503",7.26494489074256e-06,2,NA,0.515543193717278,0.515543193717278,FALSE
"ASV_4506",5.74821217129298e-06,2,NA,0.515543193717278,0.515543193717278,FALSE
"ASV_4507",7.1765370806615e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4508",9.12509001499194e-06,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4509",9.0569433681051e-06,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4510",1.01347550709766e-05,10,NA,0.574495384403417,0.574495384403417,FALSE
"ASV_4511",8.77717187796462e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4512",6.51486492974376e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4514",1.30566897319942e-05,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_4515",5.79116616695444e-06,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4516",1.05724460142789e-05,14,NA,0.602087351887572,0.602087351887572,FALSE
"ASV_4517",8.91704426010556e-06,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4518",1.78500434964015e-05,10,NA,0.574495384403417,0.574495384403417,FALSE
"ASV_4519",3.84955792481922e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_4520",3.65727536677068e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4521",5.38803133615918e-06,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4522",5.62144975196161e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_4523",5.0160792870142e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_4525",4.30603272668228e-06,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4526",5.97856187365929e-06,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_4527",8.37632492391583e-06,11,NA,0.581509196748416,0.581509196748416,FALSE
"ASV_4528",5.89628766643397e-06,2,NA,0.515543193717278,0.515543193717278,FALSE
"ASV_4529",1.09383323998179e-05,12,NA,0.588445508404519,0.588445508404519,FALSE
"ASV_4530",1.59691237471151e-05,13,NA,0.595304749931111,0.595304749931111,FALSE
